
============================================================
GALAXY PARLAY - DATABASE POPULATION
============================================================

[1/3] Fetching historical fixtures (2023-2025)...
This will take 5-10 minutes...
2026-01-30 15:26:09 [info     ] Starting historical data population
2026-01-30 15:26:56 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 217, 'league': 94, 'season': 2025} results=11
2026-01-30 15:26:56 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:57 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 762, 'league': 94, 'season': 2025} results=11
2026-01-30 15:26:57 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:57 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 21595, 'league': 94, 'season': 2025} results=11
2026-01-30 15:26:57 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:57 [info     ] Team stats stored              count=18 league=Primeira Liga season=2025
2026-01-30 15:26:57 [info     ] Fetching fixtures              league=Eredivisie season=2025 status=FT
2026-01-30 15:26:58 [info     ] apifootball_request            cached=False endpoint=fixtures params={'league': 88, 'season': 2025, 'status': 'FT'} results=179
2026-01-30 15:26:58 [info     ] fixtures_upserted              count=179
